,n_total,n_failed,parse_fail_rate,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
mistral,500.0,0.0,0.0,0.9,0.9015817111396416,0.9013916062319998,0.9060911219387616,0.8998325254939417
qwen,500.0,0.0,0.0,0.876,0.877894518257932,0.877689182397839,0.8877112543469113,0.8754318861375049
gemma2,500.0,0.0,0.0,0.886,0.886303820170164,0.8859684050089485,0.8934729889012264,0.887299669877135
claude,500.0,7.0,0.014,0.8843813387423936,0.886820567709155,0.8864308416825093,0.8957665989924054,0.8841147805887997
