model,stock,n,mean_daily_return,std_daily_return,sharpe,sharpe_ci_lo,sharpe_ci_hi
arima,AAPL,63,0.0023472384311995806,0.010117625176978976,3.3714977973523546,-0.42789787322031986,6.733838844019377
arima,TSLA,63,0.007731792854851917,0.029299861971668128,4.081544912038153,0.19522984784702474,9.277275789848773
arima,XOM,63,-0.0014262291743730403,0.015500154260533968,-1.6638795818481964,-5.391240834723621,2.3399585198722503
arima,MRK,63,-0.001155542927222562,0.011384160756845917,-1.888007354161919,-5.895516671215892,2.082873577678082
arima,MS,63,0.00042420401883863494,0.015590466952773092,0.22990498636899467,-3.815055097993904,3.883483996039642
mistral,AAPL,92,0.0020021604744350167,0.009660165132062628,2.964090972359136,-0.20171007647266878,5.9505763224535
mistral,TSLA,92,0.014889474890217445,0.02924342853136782,7.974898773556523,4.693704524019195,11.938710716248996
mistral,XOM,81,0.0015121800635950005,0.015081276116833624,1.3828677501574964,-2.0285583871599764,4.673411138942091
mistral,MRK,79,0.0015071375541031576,0.011151283694493029,1.8630467653562477,-1.582632606311857,5.412372573551735
mistral,MS,79,0.002047223629370696,0.014350141119512496,2.0452038361524534,-1.483391969738743,5.333871920454009
qwen,AAPL,92,0.0022065796866322708,0.009615039712044249,3.3154998425621356,0.2113641152886774,6.325310333700675
qwen,TSLA,91,0.013591492801906222,0.029900226131629206,7.110600251720633,3.6487091792751407,10.888177231845491
qwen,XOM,81,0.0023671471214740066,0.01496952683455069,2.299845014441669,-1.0080566271089224,5.867218310803523
qwen,MRK,79,0.0023579200143336184,0.011000938453535773,3.116199224175272,-0.39792659223558074,6.73741506283897
qwen,MS,79,0.0015585882725499052,0.014412184641660514,1.4981849308878632,-1.8297673780464125,5.544493726610019
gemma2,AAPL,92,0.0021806280416739173,0.009621023598255302,3.2706180104558262,0.044921386213218145,6.215215455530717
gemma2,TSLA,92,0.01592113154627724,0.028688723372064327,8.699948784561963,5.357874629561528,12.700997554113739
gemma2,XOM,29,0.0054451156975620285,0.014406915981670066,5.781169831111921,0.12431954752440118,13.096323619718909
gemma2,MRK,79,0.0011868082897123074,0.01119040397765399,1.4021203899805774,-2.177507191448247,5.016094781954415
gemma2,MS,79,0.00208567805724605,0.014344531509843623,2.088559585525799,-1.432666463241346,5.55605404086888
claude,AAPL,89,0.0022730395367321194,0.009750192397404362,3.377746686669257,0.2990432927796836,6.368391608605808
claude,TSLA,90,0.015069097579035108,0.02939114771522137,8.031833475960356,4.552080171889942,12.053814782109836
claude,XOM,78,0.002701129197584513,0.014989098223090198,2.6505525657466897,-0.95729688419839,6.200870336828993
claude,MRK,67,0.0025109646629943166,0.01123106339666932,3.2686686074684395,-0.4636962779069558,7.7044138540704425
claude,MS,73,0.004306334261118125,0.013431632287290362,4.855049019126009,1.4472763080545228,8.287565926733276
