model,bal_acc,bal_acc_lo,bal_acc_hi,f1_macro,f1_macro_lo,f1_macro_hi
arima,0.5,0.5,0.5,0.36069651741293535,0.33419689119170987,0.38516746411483255
mistral,0.5720751231527094,0.5174620897822739,0.627926722058305,0.5593396987627757,0.4952269535948526,0.6220588235294118
qwen,0.588115763546798,0.530942340464651,0.6465454865269595,0.5843038302277432,0.521956644016301,0.6460987128712992
gemma2,0.599661330049261,0.5490372662834211,0.6512560791017531,0.5843999449490779,0.5222713243546577,0.6457436793975255
claude,0.6195504926108375,0.5661396426734,0.6738566042143909,0.6111820871436255,0.5486846367619729,0.6728254885769337
