model,n,mean_daily_return,std_daily_return,sharpe,sharpe_ci_lo,sharpe_ci_hi
arima,315,0.0015842926406589063,0.01794539331974418,1.2259503959074982,-0.4765991173458995,3.0521635485280636
mistral,423,0.0046272141186611245,0.018387238305545586,3.823578169604622,2.408049542755693,5.21075349094885
qwen,422,0.0045994650418171275,0.018356382588237602,3.806008057956077,2.348013990202341,5.235999898173051
gemma2,371,0.005611311748599772,0.01862432071265081,4.613704299764839,3.0770040623973336,6.151095599099429
claude,397,0.005672051415053281,0.018417958358224237,4.717749881667772,3.228121815071036,6.199196275294154
